Description,TotalSalesDollars,ProfitMargin
Botani 13 Muscat Srra Malaga,8014.25,80.91998627444865
Botromagno Gravina,89.88,30.97463284379172
Bouchard Aine & Fils Mersult,6494.84,40.65812244797409
Boundary Breaks Dry Rsl #239,1443.24,56.43136276710734
Boundary Breaks Rsl Rsv #198,719.64,54.343838585959645
Bouvet Brut,3531.54,60.7978389031414
Bouvier Marsannay Rose,1013.61,79.88575487613579
Bouvier Morey St Denis Rue d,3233.34,98.98989898989899
Bouza Merlot Tannat 12,1701.08,46.7538269805065
Bouza Temp Tannat,1349.46,56.14245698279312
Bowman's Gin,283.05,58.96131425543191
Bowman's Light Vodka,973.29,84.63767222513331
Bowman's Rum,344.54,57.81621872641784
Bowmore Legend Single Malt,350.87,66.52321372588138
Brancaia Blu Rosso Toscana,3074.5899999999997,15.028670489398593
Brancott Estate 'B' Svgn Bl,62.94,67.54051477597713
Brandborg Benchlands Pnt Nr,49.98,66.20648259303721
Bregeon Muscadet Sevre et M,3046.39,79.92640469539356
Brenne French Sng Mlt Whisky,6214.52,94.28274428274428
Bridlewood Blend 175 C C,8229.05,61.56457914340051
Bridlewood Slct Pnt Nr Lucia,7435.35,83.87701991163831
Briggs Lockhart Cab Svgn,2026.44,63.107715994552024
Briggs Lockhart Chard,649.5,68.2217090069284
Brinley Gold Shipwrck Coffee,299.88,63.50540216086434
Brinley Gold Shipwreck,239.88,61.830915457728864
Brinley Gold Shipwrk Coconut,899.64,61.824729891956785
Brittan Vyds Chard Wlmete Vy,7394.280000000001,90.96396133227306
Broadside Cab Svgn Paso Rob,636.3,77.8972182932579
Broadside Margarita 13 Cab S,7076.459999999999,37.94185228207324
Brooks Janus Pnt Nr,2111.36,34.70559260381935
Brooks Pnt Nr Willamette,999.5999999999999,41.944777911164465
Brooks Runaway Red,527.76,67.09868121873579
Brotherhood Holiday Spiced,2850.7799999999997,61.82202765558898
Brousko Dry Red,263.76,66.87898089171973
Brownstone Cab Svgn Cal,2714.98,62.13010777243295
Brownstone Chard Cal,557.38,48.07133373999785
Brownstone Merlot Cal,719.2,48.94327030033371
Brownstone Moscato,233.73999999999998,5.1253529562762
Brownstone Pnt Nr,719.1999999999999,50.69521690767519
Bruichladdich Rocks Sngl Mlt,1599.68,86.5123024604921
Bruichladdich Wee Laddie Box,2399.6,63.23553925654275
Bruno Giacosa Roero Arneisxc,299.76,67.7341873498799
Buehler Estate Cab Svgn Napa,5804.2300000000005,94.63236294909058
Buehler Wh Znfdl Napa,3956.04,62.18440662885107
Buena Vista Ch Napa Vly Cab,5848.7,57.76086993690905
Buenas Tempranillo,505.54,66.87898089171973
Buglioni Disperato Bianco,4766.49,31.217310851381203
Buglioni L'Amarone,6488.820000000001,52.60617492856945
Buil & Gine Montsant 17X1,3202.25,87.61995471933797
